Year,Month,Actual Temperature
1936,4,11.636
1936,5,19.16
1936,6,24.947
1936,7,26.539
1936,8,25.257
1936,9,20.574
1936,10,14.1
1936,11,4.183
1936,12,-3.074
1937,1,-4.726
1937,2,-1.124
1937,3,3.449
1937,4,11.863
1937,5,20.435
1937,6,24.361
1937,7,26.858
1937,8,25.527
1937,9,19.769
1937,10,13.446
1937,11,4.172
1937,12,-4.222
1938,1,-7.042
1938,2,-1.741
1938,3,5.734
1938,4,15.588
1938,5,18.708
1938,6,23.485
1938,7,26.769
1938,8,26.108
1938,9,19.642
1938,10,14.596
1938,11,4.948
1938,12,-3.571
1939,1,-4.793
1939,2,-1.12
1939,3,5.632
1939,4,13.911
1939,5,19.87
1939,6,24.761
1939,7,27.12
1939,8,27.059
1939,9,19.631
1939,10,12.676
1939,11,2.817
1939,12,-1.885
1940,1,-5.755
1940,2,-1.591
1940,3,6.41
1940,4,13.424
1940,5,20.776
1940,6,23.805
1940,7,26.952
1940,8,22.732
1940,9,20.58
1940,10,14.301
1940,11,4.17
1940,12,-1.599
1941,1,-4.241
1941,2,-2.382
1941,3,5.762
1941,4,12.68
1941,5,20.094
1941,6,23.908
1941,7,26.569
1941,8,25.378
1941,9,20.925
1941,10,12.88
1941,11,4.96
1941,12,-1.741
1942,1,-4.634
1942,2,-3.942
1942,3,7.474
1942,4,13.486
1942,5,18.539
1942,6,26.524
1942,7,27.24
1942,8,25.026
1942,9,20.822
1942,10,12.841
1942,11,5.152
1942,12,-2.766
1943,1,-6.193
1943,2,-1.056
1943,3,6.484
1943,4,13.122
1943,5,20.761
1943,6,25.874
1943,7,27.293
1943,8,26.023
1943,9,19.35
1943,10,13.937
1943,11,4.408
1943,12,-1.965
1944,1,-3.673
1944,2,-1.991
1944,3,5.17
1944,4,12.757
1944,5,19.303
1944,6,25.318
1944,7,27.737
1944,8,25.155
1944,9,21.075
1944,10,12.905
1944,11,3.586
1944,12,-6.813
1945,1,-6.359
1945,2,-4.631
1945,3,3.89
1945,4,15.648
1945,5,19.457
1945,6,25.158
1945,7,26.765
1945,8,26.277
1945,9,20.771
